query,metric,real_log,synth_log
ram_utilization_histogram,avg_percentage_used,1.6232492903979006,1.6720978579357175
ram_utilization_histogram,avg_percentage_used,1.6334684555795864,1.8129133566428555
ram_utilization_histogram,avg_percentage_used,1.3424226808222062,1.8808135922807914
ram_utilization_histogram,avg_percentage_used,1.4913616938342726,1.7160033436347992
Xeon_network_consumption,avg_bytes_received,12.919424512130892,12.02875246583218
Xeon_network_consumption,avg_bytes_received,11.902131848754616,11.660754775141
Xeon_network_consumption,avg_bytes_received,12.883064421710207,11.99350900255645
Xeon_network_consumption,avg_bytes_received,11.293565829818533,12.100150374788837
Xeon_network_consumption,avg_bytes_received,17.756167184132238,12.177003223433497
Xeon_network_consumption,avg_bytes_received,16.116401522317283,12.07568116559498
Xeon_network_consumption,avg_bytes_received,11.846233046628834,12.070555088739207
Xeon_network_consumption,avg_bytes_received,15.723979580339329,12.072198800913881
Xeon_network_consumption,avg_bytes_sent,12.81796096943785,11.326895449702764
Xeon_network_consumption,avg_bytes_sent,11.701571053111042,11.100386295192708
Xeon_network_consumption,avg_bytes_sent,12.358914024817333,11.28150382334572
Xeon_network_consumption,avg_bytes_sent,10.486318858224763,11.426548558980203
Xeon_network_consumption,avg_bytes_sent,17.7561645616198,11.079107112883088
Xeon_network_consumption,avg_bytes_sent,16.116370655920228,11.31993223074909
Xeon_network_consumption,avg_bytes_sent,11.013192148992957,11.27699301410815
Xeon_network_consumption,avg_bytes_sent,15.72389232851966,11.325591296356086
popular_browsers_by_count_usage_percentage,percent_duration,0.9947569445876282,1.5686709780098966
popular_browsers_by_count_usage_percentage,percent_duration,1.9237101943965629,1.6790643181213127
popular_browsers_by_count_usage_percentage,percent_duration,0.9652017010259121,1.2600713879850747
popular_browsers_by_count_usage_percentage,percent_instances,0.9960736544852753,1.5667909123815917
popular_browsers_by_count_usage_percentage,percent_instances,1.9100905455940682,1.6445370577784073
popular_browsers_by_count_usage_percentage,percent_instances,1.0715138050950892,1.342620042553348
battery_power_on_geographic_summary,avg_duration,2.230955240153304,2.015267002072852
battery_power_on_geographic_summary,avg_duration,2.1396060524680696,1.9941924011588705
battery_power_on_geographic_summary,avg_duration,2.1250308945888903,2.0410731279655203
battery_power_on_geographic_summary,avg_duration,2.2514435597577216,2.0088799129851473
battery_power_on_geographic_summary,avg_duration,2.19225996607843,2.0357324001846284
battery_power_on_geographic_summary,avg_duration,2.2140773524578776,2.02809479330823
battery_power_on_geographic_summary,avg_duration,2.179433677918843,2.036249477117041
battery_power_on_geographic_summary,avg_duration,2.142555067167512,2.0318912297405096
battery_power_on_geographic_summary,avg_duration,2.3008764875030696,1.9956515484505832
battery_power_on_geographic_summary,avg_duration,2.311764704032542,1.995984101634848
battery_power_on_geographic_summary,avg_duration,2.175209547856269,1.9981696334587864
battery_power_on_geographic_summary,avg_duration,2.1442216427230623,1.9772235463846455
battery_power_on_geographic_summary,avg_duration,2.108074630417015,2.0395325598493517
battery_power_on_geographic_summary,avg_duration,2.2103964109064473,2.0174804488074116
battery_power_on_geographic_summary,avg_duration,2.203360551191249,2.0320050065970996
battery_power_on_geographic_summary,avg_duration,2.0105596230861806,2.029196060601787
battery_power_on_geographic_summary,avg_duration,2.146740150170369,2.031997020446216
battery_power_on_geographic_summary,avg_duration,2.326266982517992,2.0477004351056523
battery_power_on_geographic_summary,avg_duration,2.175912662619416,2.071970923072152
battery_power_on_geographic_summary,avg_duration,1.9305267732852895,2.032055973102477
battery_power_on_geographic_summary,avg_duration,2.1892326712636567,2.0715941650110588
battery_power_on_geographic_summary,avg_duration,2.3779442621997466,2.0335338523472792
battery_power_on_geographic_summary,avg_duration,2.308857723816277,2.00276979540567
battery_power_on_geographic_summary,avg_duration,2.0972519487472154,1.9917784191065322
battery_power_on_geographic_summary,avg_duration,1.9856795586277174,2.02291579956631
battery_power_on_geographic_summary,avg_duration,2.136959997450606,2.052304312312418
battery_power_on_geographic_summary,avg_duration,2.0561509368220316,2.0890775790922995
battery_power_on_geographic_summary,avg_duration,2.0446243139547997,2.005727448942203
battery_power_on_geographic_summary,avg_duration,2.0857731506401063,2.0738120986768296
battery_power_on_geographic_summary,avg_duration,1.9736511129102419,2.058385649337117
battery_power_on_geographic_summary,avg_duration,2.0011056845474093,2.025433932566871
battery_power_on_geographic_summary,avg_duration,2.080801023775357,2.021025182937465
battery_power_on_geographic_summary,avg_duration,2.213343247481208,2.0392755764026136
battery_power_on_geographic_summary,avg_duration,2.1668069057774204,1.9883845367961872
battery_power_on_geographic_summary,avg_duration,2.0639147627621113,2.00069362166979
battery_power_on_geographic_summary,avg_duration,2.1119776746698915,2.0514748151579685
battery_power_on_geographic_summary,avg_duration,2.1064907580841923,2.0411641129277562
