os_name,os_codename,blocker_name,blocker_type,activity_level,number_of_clients,average_active_time_in_seconds,number_of_occurences
Win10,21H2,Intel(R) PCI Express Root Port #8 - 02BF (\_SB.PCI0.RP08),Fx Device,high,28,3874.2089879823584,2721
Win10,21H2,Intel(R) PCI Express Root Port #1 - 06B8 (\_SB.PCI0.RP01),Fx Device,low,96,77.41106474164133,3619
Win10,22H2,Disk drive (\_SB.PCI0.SAT0.PRT0),Fx Device,moderate,8,128.36087829457364,129
Win10,21H1,Unregistered Device \_SB.PR02,Fx Device,high,2,14232.409287499999,8
Win10,22H2,インテル(R) スマート・サウンド・テクノロジー ・オーディオ・コントローラー (\_SB.PCI0.HDAS),Fx Device,moderate,41,239.69071609642305,1286
Win10,RS5,Maintenance Phase,PDC Phase,moderate,56,910.36471875,288
Win10,RS5,PLM Phase,PDC Phase,high,16,993.182595744681,47
Win10,21H2,Intel(R) Smart Sound Technology Ses Denetleyicisi (\_SB.PC00.HDAS),Fx Device,high,8,2711.2288725490193,51
Win11,22H2,Intel(R) PCI Express Root Port #15 - A336 (\_SB.PCI0.RP15),Fx Device,moderate,5,291.0094777777778,36
Win11,22H2,Intel(R) PCI Express Root Port #14 - A335 (\_SB.PCI0.RP14),Fx Device,moderate,10,406.01415121951226,123
Win10,22H2,Intel(R) PCI Express Root Port #11 - 02B2 (\_SB.PCI0.RP11),Fx Device,high,11,282.2863840909091,44
Win10,20H1,Intel(R) Smart Sound Technologie-Audiocontroller (\_SB.PCI0.HDAS),Fx Device,low,1,82.87195957446806,141
Win10,20H1,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PCI0.CNVW),Fx Device,moderate,12,124.14784999999999,84
Win10,21H2,Intel(R) PCI Express Root Port #13 - 9DB4 (\_SB.PCI0.RP13),Fx Device,high,40,2769.7634604523037,6898
Win10,21H2,Realtek RTL8821CE 802.11ac PCIe Adapter (\_SB.PC00.RP09.PXSX),Fx Device,low,9,29.342323625730998,855
Win10,20H2,Intel(R) Serial IO I2C Host Controller - 9DE8 (\_SB.PCI0.I2C0),Fx Device,low,2,1.3188499999999999,2
Win10,22H2,Realtek Gaming 2.5GbE Family Controller (\_SB.PC00.RP05.PXSX),Fx Device,low,27,22.3380135125318,2753
Win10,20H2,Intel(R) Dual Band Wireless-AC 8265 (\_SB.PCI0.RP01.PXSX),Fx Device,low,8,25.777305253940455,1142
Win10,RS5,TCPIP,Activator,low,33,258.016285971223,278
Win10,RS5,DHCP,Activator,moderate,52,464.40515803571424,224
Win10,21H2,Unregistered Device \_SB.PCI0.RP09.PXSX,Fx Device,high,22,4046.2306173999996,4000
Win10,22H2,Marvell AVASTAR Wireless-AC Network Controller (\_SB.PCI0.RP04.PXSX),Fx Device,high,21,1572.8780479704797,271
Win11,22H2,Intel(R) Smart Sound -tekniikan audio-ohjain (\_SB.PCI0.HDAS),Fx Device,high,7,6658.045249826989,289
Win10,21H2,Host Activity Manager,Activator,low,87,53.95355135135135,148
Win11,22H2,Intel(R) PCI Express Root Port #21 - A32C (\_SB.PCI0.RP21),Fx Device,moderate,6,742.73264,35
Win10,20H2,WP Sync Client,Activator,moderate,9,182.0976232394366,142
