query,column,metric_type,method_value,baseline_value,method_error,baseline_error,normalized_error,method
persona_web_cat_usage_analysis,unclassified,median_relative_error,0.7282113660151056,0.04434861981051899,0.7282113660151056,0.04434861981051899,16.420158488052476,widetable
pkg_power_by_country,avg_pkg_power_consumed,median_relative_error,0.9992934938535887,0.8399379080795496,0.9992934938535887,0.8399379080795496,1.1897230548129358,widetable
pkg_power_by_country,group_coverage,jaccard,0.9411764705882353,0.8775510204081632,0.05882352941176472,0.12244897959183676,0.4803921568627451,widetable
pkg_power_by_country,number_of_systems,median_relative_error,739.1272727272727,0.3888888888888889,739.1272727272727,0.3888888888888889,1900.6129870129869,widetable
popular_browsers_by_count_usage_percentage,percent_duration,total_variation,0.21329999999999996,0.007699999999999971,0.21329999999999996,0.007699999999999971,27.7012987012988,widetable
popular_browsers_by_count_usage_percentage,percent_instances,total_variation,0.44059999999999994,0.002290970902909667,0.44059999999999994,0.002290970902909667,192.32020775140015,widetable
popular_browsers_by_count_usage_percentage,percent_systems,total_variation,0.18449577089025967,0.001466776388245758,0.18449577089025967,0.001466776388245758,125.78316120217464,widetable
ram_utilization_histogram,avg_percentage_used,median_relative_error,1.0,0.06385809312638581,1.0,0.06385809312638581,15.659722222222221,widetable
ram_utilization_histogram,count(DISTINCT guid)_distribution,total_variation,0.4873860282211548,0.010910231040328022,0.4873860282211548,0.010910231040328022,44.67238378542177,widetable
Xeon_network_consumption,avg_bytes_received,median_relative_error,0.9355756420085877,0.9999399533092179,0.9355756420085877,0.9999399533092179,0.9356318236033855,pertable
Xeon_network_consumption,avg_bytes_sent,median_relative_error,0.9838399811566945,0.9999749970043232,0.9838399811566945,0.9999749970043232,0.9838645807185527,pertable
Xeon_network_consumption,group_coverage,jaccard,0.5714285714285714,0.875,0.4285714285714286,0.125,3.428571428571429,pertable
Xeon_network_consumption,number_of_systems,median_relative_error,1.324915824915825,0.1111111111111111,1.324915824915825,0.1111111111111111,11.924242424242426,pertable
battery_on_duration_cpu_family_gen,avg_duration_mins_on_battery,median_relative_error,0.5411786705698024,0.038414842323032876,0.5411786705698024,0.038414842323032876,14.087749365700793,pertable
battery_on_duration_cpu_family_gen,number_of_systems,median_relative_error,0.9290843806104129,0.0444026890561859,0.9290843806104129,0.0444026890561859,20.924056636182012,pertable
battery_power_on_geographic_summary,avg_duration,median_relative_error,0.23883114441006242,0.05938791010147264,0.23883114441006242,0.05938791010147264,4.021544856553896,pertable
battery_power_on_geographic_summary,avg_number_of_dc_powerons,median_relative_error,0.13557835887576913,0.04449363519852995,0.13557835887576913,0.04449363519852995,3.0471405240506977,pertable
battery_power_on_geographic_summary,group_coverage,jaccard,0.7872340425531915,0.9583333333333334,0.21276595744680848,0.04166666666666663,5.106382978723408,pertable
battery_power_on_geographic_summary,number_of_systems,median_relative_error,0.12237762237762238,0.028368794326241134,0.12237762237762238,0.028368794326241134,4.313811188811189,pertable
display_devices_connection_type_resolution_durations_ac_dc,group_coverage,jaccard,0.0,0.9361702127659575,1.0,0.06382978723404253,15.666666666666671,pertable
display_devices_vendors_percentage,percentage_of_systems,total_variation,0.13409610733277066,0.0031715652398815177,0.13409610733277066,0.0031715652398815177,42.28073433475396,pertable
mods_blockers_by_osname_and_codename,entries_per_system,median_relative_error,0.8282217508556363,0.05062209045643426,0.8282217508556363,0.05062209045643426,16.360876119258844,pertable
mods_blockers_by_osname_and_codename,num_entries,median_relative_error,0.7993924753139054,0.06262955256648833,0.7993924753139054,0.06262955256648833,12.763822230172572,pertable
mods_blockers_by_osname_and_codename,number_of_systems,median_relative_error,0.9760940763854863,0.025067579744098033,0.9760940763854863,0.025067579744098033,38.938504887584934,pertable
most_popular_browser_in_each_country_by_system_count,browser,categorical_accuracy,0.9215686274509803,0.9803921568627451,0.07843137254901966,0.019607843137254943,3.9999999999999942,pertable
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,avg_modern_sleep_time,median_relative_error,0.5217450440818187,0.1739447444036429,0.5217450440818187,0.1739447444036429,2.9994872559707635,pertable
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,avg_off_time,median_relative_error,0.14507267065030308,0.0736026913626004,0.14507267065030308,0.0736026913626004,1.971023993342974,pertable
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,avg_on_time,median_relative_error,0.13471126915643072,0.029821340201843197,0.13471126915643072,0.029821340201843197,4.5172775014351805,pertable
