app_type,exe_name,number_of_systems,rank
Multimedia,obs64.exe,2223,3
Multimedia,adobe premiere pro.exe,1479,4
Multimedia,illustrator.exe,1456,5
Multimedia,icloudservices.exe,947,6
Multimedia,audacity.exe,938,7
Multimedia,wondershare filmora9.exe,743,8
Multimedia,ztscoder.exe,715,9
Multimedia,afterfx.exe,711,10
Other,shellexperiencehost.exe,27110,1
Other,applicationframehost.exe,25125,2
Other,startmenuexperiencehost.exe,23172,3
Other,rundll32.exe,20516,4
Other,msdt.exe,10874,5
Other,pickerhost.exe,9705,6
Other,credentialuibroker.exe,8597,7
Other,esrv.exe,8580,8
Other,werfault.exe,8350,9
Other,musnotificationux.exe,8166,10
Productivity,notepad.exe,19195,1
Productivity,winword.exe,16587,2
Productivity,excel.exe,13681,3
Productivity,powerpnt.exe,9885,4
Productivity,acrord32.exe,7648,5
Productivity,acrobat.exe,4839,6
Productivity,officec2rclient.exe,4534,7
Productivity,wordpad.exe,4311,8
Productivity,teamviewer.exe,3996,9
Productivity,mstsc.exe,3256,10
Security,securityhealthsystray.exe,3609,1
Security,avastui.exe,2874,2
Security,mcuicnt.exe,2393,3
Security,uihost.exe,1720,4
Security,teamviewer_.exe,1644,5
Security,mbamtray.exe,1497,6
Security,avpui.exe,1239,7
Security,egui.exe,1008,8
Security,avgui.exe,771,9
Security,vpnui.exe,640,10
Social,discord.exe,6607,1
Social,whatsapp.exe,4075,2
Social,skype.exe,3869,3
Social,telegram.exe,2230,4
Social,wechat.exe,1186,5
Social,qq.exe,945,6
Social,kakaotalk.exe,767,7
Social,wechatapp.exe,766,8
Social,line.exe,759,9
Social,messenger.exe,735,10
System,explorer.exe,24023,1
System,searchapp.exe,16953,2
System,searchui.exe,14040,3
System,wwahost.exe,6561,4
System,javaw.exe,6012,5
System,splwow64.exe,5408,6
System,searchhost.exe,3082,7
System,mshta.exe,2003,8
System,mmc.exe,1557,9
System,monotificationux.exe,1437,10
Utilities + tools,openwith.exe,21810,1
Utilities + tools,cmd.exe,15339,2
Utilities + tools,onedrive.exe,13768,3
Utilities + tools,dsatray.exe,13355,4
Utilities + tools,winrar.exe,11369,5
Utilities + tools,mspaint.exe,10423,6
Utilities + tools,snippingtool.exe,6231,7
Utilities + tools,nvcplui.exe,6060,8
Utilities + tools,nvidia geforce experience.exe,5200,9
Utilities + tools,syntpenh.exe,3672,10
Web Browsing,chrome.exe,22843,1
Web Browsing,msedge.exe,18749,2
Web Browsing,iexplore.exe,9766,3
Web Browsing,firefox.exe,7242,4
Web Browsing,opera.exe,4092,5
Web Browsing,microsoftedge.exe,3144,6
Web Browsing,browser_broker.exe,1509,7
Web Browsing,brave.exe,1090,8
Web Browsing,browser.exe,999,9
Web Browsing,browser_assistant.exe,987,10
