app_type,exe_name,total_number_of_detections,rank
Multimedia,adobe premiere pro.exe,2080660.0,3
Multimedia,clipstudiopaint.exe,1229424.0,4
Multimedia,coreldrw.exe,1204461.0,5
Multimedia,indesign.exe,939871.0,6
Multimedia,3dsmax.exe,935764.0,7
Multimedia,afterfx.exe,803662.0,8
Multimedia,lightroom.exe,617299.0,9
Multimedia,obs64.exe,586893.0,10
Other,shellexperiencehost.exe,11585759.0,1
Other,applicationframehost.exe,10608698.0,2
Other,startmenuexperiencehost.exe,3016075.0,3
Other,rundll32.exe,936984.0,4
Other,nextlu.exe,602006.0,5
Other,winstart.exe,582489.0,6
Other,bskasse.exe,529010.0,7
Other,moni.exe,471159.0,8
Other,egasadmin.exe,450916.0,9
Other,prostart.exe,425231.0,10
Productivity,excel.exe,50283427.0,1
Productivity,winword.exe,30287278.0,2
Productivity,powerpnt.exe,9112960.0,3
Productivity,acad.exe,6958189.0,4
Productivity,acrord32.exe,6227754.0,5
Productivity,mstsc.exe,5723383.0,6
Productivity,acrobat.exe,5722753.0,7
Productivity,notepad.exe,3611433.0,8
Productivity,wfica32.exe,2470838.0,9
Productivity,saplogon.exe,1426702.0,10
Security,mcuicnt.exe,935701.0,1
Security,mbamtray.exe,697786.0,2
Security,vpnui.exe,261284.0,3
Security,keepass.exe,250367.0,4
Security,avastui.exe,210118.0,5
Security,pulse.exe,148555.0,6
Security,avgui.exe,115530.0,7
Security,avpui.exe,112111.0,8
Security,uiwinmgr.exe,96777.0,9
Security,egui.exe,81253.0,10
Social,discord.exe,17227869.0,1
Social,wechat.exe,4164978.0,2
Social,kakaotalk.exe,4157718.0,3
Social,telegram.exe,3228852.0,4
Social,whatsapp.exe,3187745.0,5
Social,line.exe,2901314.0,6
Social,qq.exe,2129291.0,7
Social,skype.exe,1239141.0,8
Social,zalo.exe,492752.0,9
Social,lineapp.exe,442137.0,10
System,explorer.exe,23283759.0,1
System,searchapp.exe,5661427.0,2
System,javaw.exe,4624695.0,3
System,searchui.exe,4611889.0,4
System,java.exe,991079.0,5
System,searchhost.exe,687182.0,6
System,jp2launcher.exe,496185.0,7
System,splwow64.exe,310223.0,8
System,windowsterminal.exe,136635.0,9
System,alzip.exe,109272.0,10
Utilities + tools,snippingtool.exe,3250936.0,1
Utilities + tools,winrar.exe,1605996.0,2
Utilities + tools,mspaint.exe,1567534.0,3
Utilities + tools,utorrent.exe,1019947.0,4
Utilities + tools,cmd.exe,901448.0,5
Utilities + tools,idman.exe,843406.0,6
Utilities + tools,cnext.exe,556486.0,7
Utilities + tools,totalcmd64.exe,537241.0,8
Utilities + tools,shopstreamxtshell.exe,468403.0,9
Utilities + tools,onedrive.exe,429124.0,10
Web Browsing,chrome.exe,115735381.0,1
Web Browsing,firefox.exe,17656974.0,2
Web Browsing,msedge.exe,17600234.0,3
Web Browsing,opera.exe,9660815.0,4
Web Browsing,iexplore.exe,7140268.0,5
Web Browsing,brave.exe,3539207.0,6
Web Browsing,browser.exe,1493173.0,7
Web Browsing,whale.exe,1040041.0,8
Web Browsing,qqbrowser.exe,260838.0,9
Web Browsing,vivaldi.exe,254381.0,10
