os_name,os_codename,blocker_name,blocker_type,activity_level,number_of_clients,average_active_time_in_seconds,number_of_occurences
Win11,21H2,File Sharing Server,Activator,low,60,359.48855727091643,1004
Win11,21H2,Windows Error Reporting,Activator,low,329,42.646570953101396,661
Win11,21H2,Intel(R) PCI Express Root Port #8 - A0BF (\_SB.PC00.RP08),Fx Device,low,192,67.01054503012041,7304
Win11,22H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PC00.CNVW),Fx Device,high,672,3493.024781186581,14192
Win11,22H2,Thunderbolt(TM) Controller - 9A1F (\_SB.PC00.TDM0),Fx Device,low,128,52.9764653169387,4717
Win10,21H2,Intel(R) PCI Express Root Port #17 - 06C0 (\_SB.PCI0.RP17),Fx Device,low,20,26.085130000000003,410
Win10,21H2,Maintenance Phase,PDC Phase,low,409,23.88904710743805,1210
Win10,21H1,USB xHCI Compliant Host Controller (\_SB.PC00.XHCI),Fx Device,high,67,1392.8442574806525,2326
Win10,21H2,GP,Activator,moderate,189,153.52844007391766,1894
Win11,22H2,High Definition Audio Controller (\_SB.PC00.HDAS),Fx Device,low,145,46.21574804815761,2741
Win10,22H2,Intel(R) Wireless-AC 9462 (\_SB.PCI0.CNVW),Fx Device,low,86,27.553707411089064,18108
Win10,21H2,Intel(R) Iris(R) Plus Graphics (\_SB.PCI0.GFX0),Fx Device,moderate,56,261.34392246621627,592
Win10,21H2,Lock Screen,Activator,low,700,10.629947212336884,1686
Win11,22H2,Intel(R) PEG10 - 9A01 (\_SB.PC00.PEG1),Fx Device,moderate,150,324.37621694233366,2237
Win11,22H2,USB xHCI Compliant Host Controller (\_SB.PCI0.XHC),Fx Device,high,1908,4849.343994407104,122513
Win11,22H2,Intel(R) Iris(R) Plus Graphics (\_SB.PCI0.GFX0),Fx Device,low,594,51.81604068586659,42049
Win11,22H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PCI0.CNVW),Fx Device,high,546,4904.599085835177,23283
Win11,22H2,Standard NVM Express Controller (\_SB.PCI0.RP09.PXSX),Fx Device,moderate,260,506.30105795947867,1382
Win11,22H2,WP Location Client,Activator,high,390,2646.8569919260913,7902
Win11,22H2,Intel(R) Serial IO UART Host Controller - 34A8 (\_SB.PCI0.UA00),Fx Device,low,375,20.302331118548537,54678
Win11,22H2,Intel(R) TypeC PCIE - 9A25 (\_SB.PC00.TRP1),Fx Device,low,27,228.86662210849533,977
Win11,22H2,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PCI0.HDAS),Fx Device,high,1010,6400.84257522559,63178
Win10,22H2,WU,Activator,low,2103,103.65898015253129,21766
Win11,22H2,USB xHCI Compliant Host Controller (\_SB.PC00.XHCI),Fx Device,moderate,1472,348.5345057996917,12311
Win11,22H2,Intel(R) Ethernet Connection (16) I219-LM (\_SB.PC00.GLAN),Fx Device,low,32,84.33772014055538,5834
Win11,22H2,Intel RST VMD Controller 9A0B (\_SB.PC00.VMD0),Fx Device,low,261,77.71047209345947,64028
Win11,22H2,File Sharing Server,Activator,low,260,90.4431028625503,4227
Win10,21H2,BITS Service,Activator,high,247,1360.1070382916662,2400
Win11,21H2,CPU C0 Time.Non-attributed Time,Processor,high,289,4937.689961803713,1131
Win11,22H2,Intel(R) Ethernet Connection (10) I219-V (\_SB.PCI0.GLAN),Fx Device,moderate,172,695.1801440470423,8248
Win11,22H2,Intel(R) TypeC PCIE - 9A25 (\_SB.PC00.TRP1),Fx Device,high,15,6725.349306345896,1434
Win10,21H1,Shell Phase,PDC Phase,low,53,0.002350515463917527,97
Win11,21H2,Intel(R) PCI Express Root Port #8 - A0BF (\_SB.PC00.RP08),Fx Device,high,37,2225.8095505263173,570
Win10,22H2,Intel(R) PCI Express Root Port #5 - A0BC (\_SB.PC00.RP05),Fx Device,low,223,62.10198617763536,31818
Win10,22H2,Intel(R) Wireless-AC 9462 (\_SB.PC00.CNVW),Fx Device,low,76,31.770365159923262,9911
Win10,22H2,High Definition Audio Controller (\_SB.PC00.HDAS),Fx Device,low,77,36.173669952305254,4403
Win10,22H2,Intel(R) PCI Express Root Port #9 - A0B0 (\_SB.PC00.RP09),Fx Device,low,367,43.91740783654276,55305
Win10,21H2,Intel(R) Iris(R) Xe Graphics (\_SB.PC00.GFX0),Fx Device,high,388,825.8167935840916,10209
Win11,22H2,Windows Error Reporting,Activator,low,1974,58.7919831341525,5941
Win11,22H2,BITS Service,Activator,moderate,463,445.78610704225355,994
Win11,22H2,Intel(R) Iris(R) Xe Graphics (\_SB.PC00.GFX0),Fx Device,high,911,2179.8739793563336,12522
Win11,22H2,Windows Push Notifications,Activator,moderate,822,405.3995902356909,3267
Win11,22H2,Intel(R) Wireless-AC 9462 (\_SB.PCI0.CNVW),Fx Device,moderate,66,221.4508583193277,595
Win10,21H2,Realtek PCIE CardReader (\_SB.PCI0.RP09.PXSX),Fx Device,low,5,46.98588461538463,312
Win10,22H2,Intel(R) PCIe Controller (x16) - 1901 (\_SB.PCI0.PEG0),Fx Device,low,279,46.66462429011683,24335
Win10,22H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PCI0.CNVW),Fx Device,low,1078,43.9245954527718,228117
Win10,22H2,Shell Phase,PDC Phase,low,1183,0.0026650463985859766,4526
Win10,22H2,Resiliency Notification Phase,PDC Phase,low,437,0.002756172839506138,1296
Win11,21H2,Shell Phase,PDC Phase,low,465,0.003126934984520101,969
Win10,21H2,Barramento da Tecnologia Intel® Smart Sound (\_SB.PC00.HDAS),Fx Device,low,20,15.657902967359057,1011
Win10,21H2,Intel(R) PCI Express Root Port #12 - A0B3 (\_SB.PC00.RP12),Fx Device,low,87,24.536395852954566,6583
Win10,22H2,Intel(R) PCI Express Root Port #5 - A0BC (\_SB.PC00.RP05),Fx Device,high,102,987.2129346090154,5435
Win11,22H2,Thunderbolt(TM) Controller - 9A1B (\_SB.PC00.TDM0),Fx Device,moderate,644,441.2211015127135,18642
