guid,nrs,received_bytes,sent_bytes,chassistype,vendor,model,ram,os,number_of_cores
2dda24ae5a7b4df7b00c7349cf4cdd5a,197925.0,19845000775.0,35943381195.0,Notebook,Acer,Aspire ES1-512,4.0,Win10,2
2e4041d812dc4fecb39c42315a57de55,64734.0,25045021885.0,28870943170.0,Desktop,Gigabyte,Default string,16.0,Win10,6
2e7e0f61f9a247c5b361dd4038097534,1918694.0,1306219241175.0,2596854136585.0,2 in 1,Lenovo,Lenovo Yoga C740-14IML,8.0,Win11,4
2eb18d3f832245c6a2303c5789b56e9b,109750.0,8172645940.0,10171290950.0,Desktop,Asus,D620MT_D620SF_BM3CF,4.0,Win10,2
2eca36629c8c4bbe8487c61afe7cc4a8,336568.0,28746169200.0,80373058475.0,Notebook,HP,HP ProBook 440 G6,8.0,Win10,4
2ecd3e9ced454295bcaaef5e25636f7c,640204.0,197516677705.0,213403361634.99997,Desktop,Gigabyte,To be filled by O.E.M.,16.0,Win10,4
2ed14c8790df47c7b735a99dc08330a0,1454290.0,333929453675.0,521938332800.0,2 in 1,Dell,Inspiron 7506 2n1,16.0,Win11,4
2f0257187ce84338b0367bec384ca664,13738.0,469050465.0,921180720.0,2 in 1,Microsoft Corporation,Surface Pro 3,8.0,Win10,2
2f2299a2fce544b581528d7be6f4f939,3382626.0,2336311749205.0,4804368072685.0,Desktop,Gigabyte,Default string,4.0,Win10,2
30137e52ab344996a186c01782efd747,479524.0,133650222980.0,201362054575.0,Desktop,Dell,OptiPlex 3040,8.0,Win11,2
302c49ca013a409ab3ab3bec16cff678,434868.0,250613065920.0,288230054825.0,Desktop,MSI,MS-7994,4.0,Win10,2
303aa276bda44bc3921ad5efb4574059,2165693.0,1460814117935.0,4971128984250.0,Desktop,Unknown,Default string,16.0,Win11,6
313b80bcfede469283cfff2fd2f9d31c,9694.0,8893810.0,39775135.0,Desktop,Gigabyte,To be filled by O.E.M.,6.0,Win10,2
31ab4aebc7844e3fa3186b68f6e4a0e7,1883283.0,72333808635.0,82140758190.0,Notebook,HP,HP 15 Notebook PC,2.0,Win10,2
31e81890b6e643f79c33f185f00b8ce3,628201.0,262513268235.0,1309949074250.0,Desktop,Dell,OptiPlex 780,4.0,Win10,2
32a8fe1bc8c947509bf2854eadeaccf3,3482796.0,164428862165.0,257577980220.0,Notebook,Lenovo,ThinkPad T14s Gen 2i,16.0,Win10,4
32b881822be14d289ad8c79d12e12fd1,547826.0,365362942210.0,2434275716315.0,2 in 1,Asus,Q534UXK,16.0,Win10,2
335f05d9b109422da1887671faaf6f68,2435232.0,1855103892190.0,3068563107405.0,Desktop,Lenovo,ThinkStation P510,64.0,Win10,8
3392fe841fd744c388cfc41a1da35475,1769253.0,124351018410.0,4901914246550.0,Notebook,LG,15ZD90N-VX50K,8.0,Win11,4
33a5ca55497a484c9f102575fa33dcb5,5866504.0,1050259585730.0,2356391599020.0,Desktop,MSI,MS-7758,16.0,Win10,4
33e48ca3dc904e33b90a6f774ef89ffb,2558105.0,152054080400.0,177930199740.0,Notebook,Asus,VivoBook_ASUSLaptop X509JA_X509JA,8.0,Win11,4
33faea36afb64d9489f6fbd4cad491b9,700188.0,84066170730.0,230547420705.0,Notebook,Asus,K75VJ,8.0,Win10,4
344e55bfad2d466da02271a355bf5877,3778712.0,256350774125.0,263558976460.0,Desktop,Unknown,To Be Filled By O.E.M.,24.0,Win10,4
345cc625bf0d454ea46543f8dfcb9e97,125592.0,481997413650.0,643242882080.0,Desktop,Unknown,To be filled by O.E.M.,16.0,Win10,2
349d18e40ad346b9bdfa16246840ce11,18984.0,799949990.0,2832060815.0,Notebook,Dell,Inspiron 7391,8.0,Win10,4
34edf8e79a324e729271507d3cec5840,212134.0,55391127095.0,304577212420.0,Notebook,Asus,GL553VD,4.0,Win10,4
352492e30c184738af1e03843aa4b0de,2876748.0,3289309000175.0,16677568729890.0,Desktop,Unknown,Other,24.0,Win10,4
3646b619d16749a4abbb4c3ca017c735,217328.0,120092867750.0,122594850260.0,Notebook,Asus,Other,8.0,Win11,4
3689dc17c9ad4b23b362d2a9daf17d4c,819386.0,51226403245.0,82538982400.0,Desktop,Asus,System Product Name,32.0,Win11,6
36b315ef599f40c1a4ad9f8dde7a1c8d,721724.0,55643451080.0,86152787335.0,2 in 1,Lenovo,Lenovo YOGA 720-13IKB,8.0,Win10,2
36d235773f9c48efb4067b104e6b7435,5917430.0,1499987564280.0,6379483984760.0,Desktop,Wortmann_AG,To be filled by O.E.M.,8.0,Win10,4
37259753fd914beab5193116f3092ab5,536914.0,54702451600.0,68848138695.0,Notebook,Lenovo,Lenovo ThinkBook 15-IIL,8.0,Win11,4
3788dc3f9888418b85ab505016bf6717,264174.0,163552047945.0,207750439620.0,Desktop,Unknown,Unknown,8.0,Win10,4
384912bbf16c479ab7f401f7a5f54560,103124.0,12610571065.0,12654183680.0,Notebook,Lenovo,ThinkPad E14,8.0,Win11,4
38b37a640f594468932f951223502fe3,3081056.0,1141244927935.0,1250358009570.0,Notebook,Lenovo,Lenovo IdeaPad S145-15IWL,4.0,Win11,2
38c9fb0a47a74087bea481e13c9cbf8a,18201039.0,1908066564435.0,4589937061155.0,2 in 1,Lenovo,ThinkPad X1 Carbon Gen 8,16.0,Win10,4
390aef0141ab41fda1db4433f4f9a937,4374832.0,369273268045.0,541382627165.0,Desktop,HP,Other,8.0,Win11,n/a
3929bc1f6fd346e783e8aadd02381f64,1901364.0,197497375475.0,907258917565.0,Notebook,Lenovo,ThinkPad W541,16.0,Win10,4
3965eaca8abb4782866d5d14411d5ae5,4893488.0,1281820786170.0,2157285222970.0,Desktop,Unknown,Other,16.0,Win10,4
397bcfb6fe49424ca2feb7b5fcba250e,3386202.0,53340955670.0,63008798040.0,2 in 1,Microsoft Corporation,Surface Pro 7,16.0,Win11,4
39da82b714644aaaa8c88912d1ad29a3,370300.0,1586747802510.0,6092786277870.0,Desktop,Gigabyte,Default string,32.0,Win11,10
39db3e2cf05842d79fa67c4fed295e98,76792.0,22032094175.0,35466285885.0,2 in 1,Lenovo,Lenovo YOGA 910-13IKB,16.0,Win10,2
39e370f7bfab459c889ea7796b6615ce,3112097.0,3296199900860.0,4551628044180.0,Desktop,MSI,MS-7B24,16.0,Win10,4
3a5a9a50581e4abfbd3181febfd582ed,1683605.0,231375727655.0,414776434085.0,2 in 1,Lenovo,Lenovo Yoga C940-14IIL,16.0,Win11,4
3b7117d0e0504faabd7df9e093553e1c,559632.0,15410865240.0,18044687240.0,Notebook,HP,HP 250 G7 Notebook PC,16.0,Win10,4
3be7dac24dff4573a77f3faa60c848fe,366954.0,131776269890.0,172529049260.0,Desktop,Gigabyte,H410M H V3,16.0,Win10,6
3c317e08c0014f70bb5365a6533c4fc1,1888414.0,529549568155.0,2279325872780.0,Desktop,Mouse Computer,System Version,8.0,Win10,n/a
3c5652003582462bbf2d1efb41c8b61b,3246336.0,62863347565.0,305616392220.0,Desktop,Lenovo,ThinkSystem ST50,16.0,Win10,4
